# salmonsen/2/7/Articles.lst
#
index|Titel och innehåll|0001 0003
|Enø danner Kysten af Sjælland SØ. f. Karrebæksminde|0362
|e. o. *c: ex officio (lat.), ifølge Embedspligt, i Embeds Medfør; ogsaa = ekstraordinær.|0363
|Eocæn, den næstældste af Tertiærformationens Etager. Se Tertiærformation.|0363
|eodem (lat.), underforstaaet die, paa samme Dag.|0363
|Eofytonsandsten, særlig i Vestergotland forekommende Sandsten, der danner det ældste Led af den kambriske Sandsten|0363
|Eogen, Betegnelse for de tre ældste Etager af Tertiærformationen (s. d.).|0363
|Eohippus, uddøde hesteagtige Dyr, kendte fra Wasatch-Lagene i Wyoming og Ny Meksiko. Se Heste.|0363
|eo ipso (lat.), netop derved, med det samme.|0363
|Éon (Eudes de l'Estoile), religiøs Bedrager i Bretagne, paastod, at han var Guds Søn, Levendes og Dødes Dommer ( -e.1148)|0363
|Éon, Charles Geneviève Louis Auguste André Timothée de Beaumont, Chevalier d', fr. Diplomat og Eventyrer, (1728-1810)|0363
|Eophyton, se Eofytonsandsten.|0363
|Eordaia, oldgræsk Navn paa et Landskab i Makedonien, der omfattede Strækningerne V. f.|0363
|Emathien|0363
|Eos (gr.), »Morgenrøden«, hos Grækerne personificeret som Gudinde|0363-0364
|Eosander, Johann Friedrich, Friherre von Göthe, sv.-tysk Militær og Arkitekt, ( -1729)|0364
|Eosforit, et Mineral fra Branchville i Connecticut, er nær beslægtet med Childrenit|0364
|Eosit, et Mineral, som bestaar af molybdænsurt og vanadinsurt Bly|0364
|Eosot er Kreosot, der er omdannet til Valerianesyreæter|0365
|Eozill, Tetrabromfluorescein, C<sub>20</sub>H<sub>8</sub>Br<sub>4</sub>O<sub>5</sub>|0365
|eozoiske Gruppe, en Betegnelse, som tidligere anvendtes for den arkæiske Gruppe|0365
|Eozoon, en først i den laurentiske Gnejsformation i Kanada fundet Dannelse|0365
|e. p., Forkortelse af lat. ex protocollo, af Protokollen - og fr. en Personne, personlig, i egen Person (paa Visitkort).|0365
|Epacridaceæ, Fam. af tokimbladede og helkronede Planter af Tohornedes Orden, Buske ell. undertiden smaa Træer|0365
|Epacris Gav., Slægt af Epacridaceer, stedsegrønne Buske|0365
|Epafos efter græske Sagn Søn af Zeus og Io|0365
|Epafras, en til Kristendommen omvendt Hedning fra Kolossæ|0365
|Epafroditos, et Medlem af Menigheden i Filippi|0366
|Epagomener (gr.: »de tilføjede«), de 5 Dage tilføjede i Slutn. af det ægypt. Aar, for at faa dets Længde lig Solaarets|0366
|Epakter (gr.: »de tilføjede«) er det Antal Dage, som paa Aarets Nytaarsdag er forløbet siden den sidste Nymaane|0366
|Epaktos, se Lepanto.|0366
|Epameinondas (Epaminondas), thebansk Feltherre og Statsmand, (c.420-362 f. Kr.)|0366
|Epanalepsis (gr.), Genoptagelse, en Talefigur, der bestaar i Gentagelsen af eet ell. fl. Ord|0366
|Epanastrofe, den Talefigur, at lade et Sætningsled begynde med samme Ord, hvormed det foregaaende ender.|0366
|Epanodos (gr.: Tilbagevenden, lat. regréssio) Talefigur, bestaaende i Gentagelsen af de samme Ord paa en anden Maade.|0366
|Eparch (gr.), Befalingsmand, især Statholder i en Prov.|0366
|Epaulement (fr.) kan være Betegnelse for en Standplads for lettere Artilleri|0366
|Bpaulet (af fr. épaulette)opr. Beskyttelsesmiddel for Skuldrene, nu Prydelse og Distinktion for Officerer|0366-0367
|épave (fr.), herreløst Gods; droit d'é., Retten til at konfiskere saadant Gods, særlig Vrag, opdrevet paa Forstranden.|0367
|Épée, Charles Michel de l', Grundlæggeren af Døvstummeundervisningen i Frankrig, (1712-1789)|0367
|Epeios, græsk Sagnheros, Søn af Panopeus, berømt som Skaber af den kolossale Træhest, der hidførte Troja's Fald|0367
|Bpeira, se Hjulspindere.|0367
|Epeiros (gr.), egentlig Fastland (lat. Epirus), gr. Betegnelse i ældre Tider for den vestlige Del af Hellas|0367-0368
|Ependyma (gr.), den Hinde, som beklæder Indsiden af Hjerneventriklerne.|0368
|Ependymitis (gr.). Betændelse af Ependymet.|0368
|Epenthese (gr., »Tilindsætning«) vil sige en Vokals Indtrængen fra en flg. svag Stavelse til en foregaaende stærk|0368
|Eperjes (Eperies), Hovedstad i det ung. Komitat Sáros, ligger i den mellemste Del af Karpaterne ved Floden Tarcza|0368
|Epernay, By i det nordøstlige Frankrig, Dept Marne, paa venstre Bred af Marne, 32 km VNV. f. Châlons|0368
|Epernon, By i det nordvestlige Frankrig, Dept Eure-et-Loire, ved Sammenløbet af Eures Bifloder Drouette og Guesle|0368-0369
|Éperon (fr.) er en ældre Benævnelse for et lille, fremspringende Udenværk i den permanente ældre Befæstning.|0369
|Eph (Ord, der savnes herunder, maa søges under Ef...).|0369
|Ephebe Fr., Liken-Slægt af Ephebaceæ, smaa Laver|0369
|Ephedra, se Ephedraceæ.|0369
|Ephedraceæ, Fam. af Klassen Gnetinæ (med en enkelt Slægt Ephedra L.), rigt forgrenede Buske ell. Halvbuske|0369
|Ephelides, se Fregner.|0369
|ephemera, se efemer Feber.|0369
|Éphémérides du Citoyen, fransk Tidsskrift, grundlagt af Abbed Baudeau 1765|0369
|Ephetneridæ, se Døgnfluer.|0369
|Ephialtes, se Ichneumonidæ.|0369
|Ephippium, se Dafnier.|0369
|Epi- ell. Ef- (i Sammensætninger, hvis andet Led begyndte med en aspireret Vokal), gr. Forstavelse (egl. Præposition)|0369
|Epiblast (bot.) kaldes paa Græssernes Kim et lille, skællignende Organ|0369
|Epiblem (bot.) kaldes i Planteanatomien Rodens Hud|0369
|Epiboulangerit, et metallisk, af Bly, Antimon og Svovl (3PbS.Sb<sub>2</sub>S<sub>5</sub>) bestaaende Mineral|0369
|Epicarin, en Oxynaphtyl-Toluylsyre-Forbindelse, er et stærkt virkende Antiseptikum|0369
|Epicentrum, se Jordskælv.|0369
|Epicharmos, gr. Dramatiker, Stifteren af den dorisk-sikeliske Komedie, (c.550-460 f. Kr.)|0369
|Epicherem (gr.) betegner i Logikken en sammentrukken Slutningskæde|0369
|Epichloë Tul., Svampeslægt af Hypocreaceernes Fam. E. typhina Tul. (Skedesvamp) snylter paa forsk. Græsser|0369-0370
|Epicoenum (Plur. Epicoena; af gr., fælles) er i Grammatikken Benævnelse paa Ord, der bruges baade om Handyret og om Hundyret|0370
|Epicykel (gr.), en Cirkel, hvis Centrum bevæger sig i Omkredsen af en anden Cirkel. Se i øvrigt Verdenssystemer.|0370
|Epicykloide (gr.) Kurve, der beskrives af et fast Punkt på en Cirkel, naar Cirklen ruller paa Ydersiden af en fast Cirkel|0370
|Epicykloidehjul, se Tandhjul.|0370
|Epicystotomi (gr.), d. s. s. sectio alta, »det høje Snit«, den Operation, hvorved man aabner Blæren oven over Isbenet|0370
|Epidauros, oldgræsk By paa den peloponnesiske Halvø, i Landskabet Argolis|0370-0374
|Epidauros Limera, oldgræsk By paa Østsiden af Lakonien nær det nuv. Monemvasia.|0374
|Epideixis, egl. Fremvisning, dernæst om et Foredrag, hvori man stiller sin Lærdom ell. Veltalenhed til Skue|0374
|Epidemi (af gr., hvad der gaar hen over Folket), Smitsot, Farsot|0374-0380
|Epidemiologi (græsk), Læren om Epidemierne.|0380
|epidemisk, se Epidemi.|0380
|Epidendrum L., Slægt af Gøgeurtfam., der tæller over 400 Arter af meget forsk. Ydre|0380
|Epidermidoser (gr.), Hudanomalier, udgaaende fra Epidermis.|0380
|Epidermis, d. s. s. Overhud, se Hud.|0380
|Epidiaskop er et af Zeiss fremst. Instrument til Projektion af Billeder|0380
|Epididymit, Mineral, se Eudidymit.|0380
|Epididymitis (gr.), Betændelse af Bitestiklen (Epididymis)|0380
|Epidosit kaldes Bjergarter, som væsentlig bestaar af Epidot|0380
|Epidot (Achimatit, Akantikon, Arendalit, Delfinit, Thallit, Pistazit), et meget udbredt Mineral|0380-0381
|Epifaneia, oldgræsk Navn paa fl. Steder i Asien|0381
|Epifanes (gr. lysende), Tilnavn for fl. Konger i de Riger, der opstod efter Alexander den Store's Død|0381
|Epifanifest, (Christi) Aabenbarelsesfest, fejres 6. Jan., Helligtrekongersdag|0381
|Epifaninreaktion, Metode i Immunitetsforskningen til Paavisning af et Antigen resp. Antistof|0381
|Epifanios, Biskop i Constantia (det gamle Salamis) paa Cypern, ( -403)|0381-0382
|Epifanius, (439-495) Biskop i Pavia|0382
|Epifyl (bot.) er en Plante, som er epifytisk paa Blade|0382
|Epifyse, se Ben.|0382
|Epifyseløsning. |0382
|1) Ved Læsioner hos yngre Individer|0382
|2) Ved Betændelser i de lange Rørknogler|0382
|epifysis cerebri, se corpus pineale.|0382
|epifytisk, epifyt (bot.) i Biologien: en Plante, som vokser paa en anden uden af samme at drage sin Næring|0382
|Epifytter (gr.), i Medicinen Svampe, som frembringer Hudsygdomme ved at vokse paa Overhuden.|0382
|Epifænomen, Bifænomen|0382
|Epigami (gr.), Overenskomst, hvorefter Medlemmer af den ene Stat kunde indgaa Ægteskaber med Medlemmer af den anden|0382
|Epigastrium (gr.), se Bug.|0382
|Epigenese (gr.), se Udviklingslæren.|0382
|Epigeflit, et staalgraat, metallisk Mineral af rombisk Krystalform|0382
|Epiglottis, d. s. s. Strubelaaget, se Strube.|0382
|Epignathus (gr.), en Form af Dobbeltmisfoster, hvor der fra det veludviklede Fosters Overkæbe udgaar et mangelfuldt Foster|0382
|Epigoner (gr.), »efterfødte«, kaldtes 7, den gr. Sagntid tilhørende Helte|0382
|Epigonos,  Pseudonym  for K. A. Gjellerup.|0382
|Epigrafik (gr.), Lære eller Videnskab om Indskrifter|0382-0386
|Epigrafiker, d. e. Kender af Epigrafer, Indskrifter, se Epigrafik.|0386
|Epigram (gr.) var hos Grækerne opr. en Indskrift paa en Offergave, et Gravmæle o. l.|0386
|epigyn (bot.), d. s. s. oversædig.|0386
|Epigæa L., Slægt af Lyngfam., nedliggende Buske|0386
|epigæisk (bot.) betyder overjordisk og anvendes i Botanikken om saadanne Kimblade, der ved Spiringen kommer op over Jorden|0386
|Epikanthus (Epiblefaron) (gr.), en Misdannelse: en seglformet Hudfold fra øverste Øjenlaag skraat ned over nedre Øjenlaag|0386
|Epikaste, d. s. s. Iokaste (s. d.).|0386
|Epiklese (gr., d. e. Paakaldelse) betegner i den liturgiske Sprogbrug en Bøn ved Udførelsen af Sakramenterne|0386
|Epiklorit, en Art Klorit.|0386
|Epikotyl (bot.) kaldes det Stykke af Stængelen, som befinder sig mellem Kimbladene og det nederste Løvblad |0386-0387
|Epikrise (gr.), Efter-Betragtning, i Lægevidenskaben: Betragtninger og Følgeslutninger i Tilknytning til en Sygehistorie.                            |0387
|Epiktetos, gr. Filosof fra 1. og 2. Aarh. e. Kr.|0387
|Epikuros, gr. Filosof (341-270 f. Kr.)|0387-0388
|Epikuræer betyder egentlig en, der tilhører Epikur's Skole|0388
|Epilation, se Haarudrykning.|0388
|Epilemma (gr.), en Indvending, som en Taler gør imod sig selv for straks at gendrive den.|0388
|Epilepsi, Ligfald ell. »den faldende Syge«|0388-0390
|Epilepsi (jur.) har i svensk Ret siden 1757 været Ægteskabshindring|0390
|epilere (lat.), at fjerne Haarene ved Udtrækning.|0390
|Epilobium, se Dueurt.|0390
|pilog (gr.), Efter- ell. Slutningstale, forekommer, ligesom Prolog, særlig ved Skuespil|0390
|Epimachi (gr.), defensivt Forbund.|0390
|Epimedium L., Slægt af Berberisfam., fleraarige Urter|0390
|Epimeleter, i Athen Kommissærer, der ved given Lejlighed valgtes til at have Opsyn med særlige Foranstaltninger|0390
|Epimenides, kretisk Præst og Digter (c.600 f. Kr.)|0390
|Epimetheus, »Bagklog«, gr. Sagnskikkelse, Søn af Iapetos|0390
|Epimythion (gr.), den Lære, der uddrages af en Fabel (»Moralen«).|0390
|Épinac, By i Mellemfrankrig, Dept Saone-et-Loire, ved Arroux's Biflod Drée|0390
|Épinal, By i det østlige Frankrig, Hovedstad i Dept les Vosges, ligger ved Foden af Vogeserne|0390-0391
|Epinasti (bot.), Egenskab ved en vandret udgaaende Gren, at Marven ligger ekscentrisk (paa Tværsnittet)|0391
|Épinay, Louise Florence Pétronille Tardieu d'Esclavelles, Markise d', (1726-1783)|0391
|Épinay, Prosper, Comte d', fr. Billedhugger, (1836- )|0391
|Epinefrin, d. s. s. Adrenalin.|0391
|épinette, se Klaver.|0391
|Epinglé, se Rips.|0391
|Epinikia (gr.), Sejrspris, Sejrsfest, Sejrssang|0391
|Epinikios Hymnes (Sejrshymnen) kaldes i den gr. Kirke Lovsangen: »Hellig! Hellig!|0391
|Hellig! er den Herre Zebaoth!«|0391
|Epione dyrkedes som Lægeguden Asklepios' Hustru i Kos, Epidauros o. fl. St.|0391
|Epipactis, se Hullæbe.|0391
|epipetal (bot.) i Morfologien: det Organ, som i Blomsten er stillet lige for et Kronblad (petalum)|0391
|Epiphora (gr.) eller Epistrofe, en retorisk Gentagelse af eet ell. fl. Ord i Slutn. af fl. Sætninger ell. Sætningsled|0391
|Epiphyllum Haworth et Pfeiffer, Slægt af Kaktusfam.|0391-0392
|Epiplocele (gr.), et Brok, hvis Indhold dannes af Nettet (Epiploori); Synonym: Hernia omentalis (af Omentum, Net)|0392
|Epiploon, d. s. s. Net, se Bughinde.|0392
|Epipogon, se Knælæbe.|0392
|Epiroter, se Epeiros.|0392
|Epirrhema, i de gl-gr. Teaterforestillinger det, som Korføreren fremsagde for Publikum efter Parabasen ell. Antistrofen.|0392
|Epirus, se Epeiros.|0392
|Episcopius((Biskop), Simon, Arminiariernes Leder efter Arminius' Død, (1583-1643)|0392
|Episcopus, Latinisering af gr., Tilsynsmand, Biskop|0392
|Episemon, Kendetegn, Mærke paa ell. ved noget, saaledes paa Forstavnen af et Skib (Gallionsfigur ell. Mærke), Vaabenmærke|0392
|episepal (bot.) kaldes i Morfologien de Organer i Blomsten, som er stillede lige for Bægerbladene (sepala)|0392
|Episiocele (gr.), et i de ydre kvindelige Kønsdele (særlig en af Storlæberne) nedtraadt Brok.|0392
|Epision, de ydre kvindelige Kønsdele ell. Indgangen til Moderskeden; Ordet benyttes kun i Sammensætninger.|0392
|Episiorafi (gr.), en Operation, hvorved de kvindelige Kønsdeles ydre Aabning tillukkes (smlg. Kolpokleisis)|0392
|Episiotomi (gr.), Indsnit, der tilsigter at forstørre den ydre Aabning af de kvindelige Kønsdele|0392
|episk Digtekunst, se Epos.|0392
|Episkleritis er en overfladisk Betændelse af Øjets Senehinde.|0392
|episkopal, hvad der hører til en Biskop, e. kaldes den anglikanske Kirke i Modsætning til den presbyterianske.|0392
|episkopale Kirke, se anglikanskKirke.|0392
|Episkopalisme, den stærke Betoning af Bispernes Bet., særlig i den anglikanske Kirke.|0392
|Episkopalsystem. |0392
|a) I den katolske Kirke: Den Lære, at Paven kun er den første bl. Ligemænd, men staar under det samlede Episkopat|0392
|b) I den protestantiske Kirke: En Retfærdiggørelse af den Ordning, at Landets Fyrste var Landskirkens Herre|0392
|Episkopat, en Biskops Embede og Værdighed, ogsaa Indbegrebet af alle Bispers Magt og Ret, set som en Enhed.|0392
|Episkopos (gr.) kaldtes i Oldtiden forskellige Slags Tilsynsmænd|0392-0393
|Episode (gr.: Indskud) betegner, ifølge Aristoteles, i den gl. Tragedie de mellem Korsangene indskudte Partier *c: Dialogen|0393
|Epispadi (gr.), en Misdannelse af det mandlige Lem, bestaaende i, at det er spaltet i sin øvre Flade|0393
|Epispastika (gr.), d. s. s. blæretrækkende Midler.|0393
|Epistaksis (gr.), Næseblødning.|0393
|Epistel (gr.: Brev). Det poetiske Brev betegner kun en ydre Form ell. rettere Iklædning af et Indhold|0393
|Epistel. I kirkelig Sprogbrug bruges E. om de nytestamentlige Breve|0393
|Epistelside kaldes højre Side af Kor og Alter, beregnet fra Kirkens Skib|0393
|episternum, se Brystben.|0393
|Epistilbit, se Zeolitter.|0393
|Epistola (lat., af gr., ogsaa epistula), Brev (med særlig Bet. af det tilsendte)|0393
|Epistolar (lat.) kaldes i den rom.-kat. Kirke den gejstlige, som foplæser et Stykke af Epistlerne.|0393
|Epistolit, et Mineral af kompliceret Sammensætning,|0393
|Epistolograf (gr.), Forf. af Breve, Brevskriver|0393
|Epistolæ canonicæ (lat.), kanoniske Breve, kaldes Brevene i det ny Testamente|0393
|Epistolæ laureatæ eller litteræ l. (lat.), Breve, omvundne med Laurbær, som rom. Feltherrer sendte som Sejrsbudskab|0393
|Epistolæ obscurorum virorum (lat.) *c: Breve fra uberømte Mænd|0393-0394
|Epistrofe, se Epiphora.|0394
|Epistrofeus, se Hvirvelsøjlen.|0394
|Epistrofi (bot.) Lejring af Grønkornene i Celler, ved hvilken de ligger ved Cellevægge parallelle med Organoverfladen|0394
|Epistyl, Epistylion, gr. (ordret: paa Søjlen), er det helleniske Ord for det nederste Led af en Gesims|0394
|Episyllogisme. I en Slutningskæde den Slutning, som udvikler Konklusionen af en anden, som den selv har til Oversætning.|0394
|Epitadeus, en spartansk Efor (sandsynligvis c. 400 f. Kr.)|0394
|Epitaf ell. Epitafium dels en Gravskrift, dels et paa ell. ved en Væg anbragt, i Reglen med Indskrift forsynet Gravmonument|0394-0395
|Epitafios (gr., underforstaaet logos), Ligtale|0394
|Epithalamion (gr.), en Bryllupssang, der blev afsunget, oftest af Kor, foran Brudekamret (thalamos)|0397
|Epithel, epithélium, en hindeagtig Beklædning, der bestaar af tæt sammenkittede Celler|0397
|Epitheliom, en særlig Form af Kræft (Carcinom), udviklet paa Hud ell. Slimhinder|0397
|Epitheliome molluscum, se Molluscum contagiosum.|0397
|Epithem (bot.) i Vævlæren: det tyndvæggede, plasmafyldte, smaacellede Parenkym|0397-0398
|Epithema (gr.), Omslag, benyttes særlig om Vandomslag. E. tepidum, varmt Vandomslag.|0398
|Epitheton (gr.), Tillægsord, Adjektiv|0398
|Epitome, Udtog af et større Værk; saadanne var alm. hos Romerne i den senere Tid|0398
|Epitrachelion (gr.: »Halsstykke«), i den gr. Bygningskunst Søjlens Hals *c: Stykket nærmest under Kapitælet|0398
|Epitritos (gr.) eller Epitritus, en antik Versefod, bestaaende af 3 lange og l kortStavelse|0398
|Epitrochasmne (gr.: Løben hen over), i Retorikken den flygtige Berøring og Omtale af noget.                                               |0398
|epitrop (bot.) kaldes et omvendt ell. krummet Frøanlæg, som i Løbet af sin Udvikling vender sig mod Frugtknudens Spids.|0398
|Epitrope, i Retorikken den Fremgangsmaade paa Skrømt at indrømme noget ell. overlade det til Dommerens Skøn.|0398
|Epizeuxis (gr.), i Retorikken en Gentagelse af et Ord med Eftertryk.|0398
|Epizoer, se Snyltedyr.|0398
|epizoisk kaldes |0398
|1) en Snylter, som lever uden paa sin Vært; f. Eks. Lus, Hvallus, visse Saprolegniaceer; |0398
|2) den Spredningsmaade af Frø, ved hvilken de ved Hjælp af krog- ell. hageformede Haar ell. Udvækster bliver hængende|0398
|Epizooti (gr.) i Veterinærmedicinen: Fællesbetegnelse for saadanne Sygdomme, der breder sig som »Syger« fra Dyr til Dyr|0398
|Epodos (gr.: Eftersang), Epode, betegner|0398
|1) et lyrisk Digts sidste Afsnit, hvorved Strofe og Antistrofe afsluttes|0398
|2) et lyrisk Digt, hvori en længere Verslinie, oftest et iambisk Trimeter, afveksler med en kortere|0398
|3) et Omkvæd, der kommer igen med bestemte Mellemrum.|0398
|Epoke (gr.) betegner i Astronomien det Tidspunkt, hvorfra man regner et Himmellegemes  Bevægelse|0398
|Epomeo, se Ischia.|0398
|Epona, gallisk Gudinde, der tilbades som Beskytterinde af Heste, Æsler og Muldyr|0398-0399
|Eponymos (gr.: den, som giver Navn), i de gr. Stater  en aarlig skiftende Embedsmand, efter hvem Aaret fik Navn|0399
|Epope, se Epos.|0399
|Epopsi (gr.), Beskuelse, Betragtning, Anskuelse.|0399
|Epopter (gr., »Beskuere«) kaldtes i Mysterierne Medlemmerne af de Indviedes højeste Grad|0399
|Epos (gr.). |0399
|I. Den episke Poesi i Alm.|0399
|II. Den episke Digtekunsts Inddeling|0399-0400
|III. E.'s Udvikling|0400-0402
|Epping, By i det sydøstlige England, Shire Essex, ligger 25 km NNØ. f. London|0402
|Epping, Joseph, tysk Astronom, (1835-1894)|0402
|Éprémesnil, Jean Jacques Duval d', fr. Adelsmand, (1745-1794)|0402
|épreuve (fr.) kaldes i Kobberstikkerkunsten saavel Aftryk al den fuldførte Plade som Prøveaftryk, Korrektur af tryk|0402
|Epsom er en af de berømteste Væddeløbspladser i England; bl. a. afholdes Derby- og Oaks-Løbene der.|0402
|Epsomit (Epsom-Salt, Haarsalt, naturligt Bittersalt), et Mineral, der bestaar af vandholdigt Magniumsulfat|0402
|Epte, en c. 100 km lang Flod i det nordlige Frankrig, Biflod til Seines højre Bred, udspringer i Dept Seine-Inférieure|0403
|Epulis (gr.), almindeligt Navn for Tandkødsvulster; særlig anvendt om Kæmpecellesarkomet.|0403
|epulones, et rom. Præsteskab, oprettet 198 f. Kr. som en Medhjælp for pontifices|0403
|Epureano, Manolaki Kostaki, rum. Statsmand (1824-80)|0403
|e pur (ogsaa eppur) si muove (ital.) *c: den bevæger sig dog (nemlig Jorden)|0403
|eques (lat., Ft. équites), Rytter, Kavalerist; Ridder (se Riddervæsen).|0403
|Equidæ, se Heste.|0403
|Equisetaceæ, se Padderokke-familien.|0403
|Equisetinæ (Padderokker, norsk Snelder), Klasse af Karkryptogamer, der staar nærmest Bregnerne|0403
|Bquisetum, se Padderokkefamilien.|0403
|équites, Ft. af eques (s. d.).|0403
|Equity (eng.). Billighedsret, der tager Hensyn, som den strenge Ret ikke anerkender, efter de konkrete Omstændigheder |0403-0404
|Equuleus (astron.), se Føllet.|0404
|equus (lat.), en Hest.|0404
|Er, kemisk Tegn for Erbium.|0404
|Era, en manganrig Staalsort, der bruges tilStenknusemaskinens Kæber.-u.|0404
|Eragrostis Host., Slægt af Græsfamilien (Svingel-Gruppen)|0404
|eragte, i Processprog det Ord, der ved Kendelser danner Overgangen mellem Præmisser og Konklusion (»thi eragtes«)|0404
|Eran, se Iran.|0404
|Erandique, Distrikt i den mellemamerikanske Republik Honduras|0404
|Eranos (gr.), hos Grækerne i Oldtiden et Sammenskudsmaaltid, hvortil hver Deltager ydede sit Bidrag (Pik-nik)|0404
|Eranske Sprog, se Iranske Sprog.|0404
|Eranthis Salisb. (Vinterblomme) Slægt af Ranunkelfamilien, fleraarige Urter|0404
|Érard, Sébastien, fr. Instrumentmager, (1752-1831)|0404-0405
|Erasinos, i Oldtiden Navn paa flere Floder i Grækenland|0405
|Erasistratos, gr. Læge, (c.330-c.250)|0405
|Erasmus, Desiderius, fra Rotterdam (Rotterodamus), Humanist, (1466?-1536)|0405-0406
|Erastianere, se Erastus.|0406
|Erastos er et Navn, som forekommer tre Gange i det ny Testamente|0406
|Erastus, Thomas (egl. Liebler eller Lieber), tysk Læge og Teolog, (1524-1583)|0406
|Erato, en af de ni Muser.|0406
|Eratosthenes, gr. Lærd af den alexandrinske Skole, (c.275-c.195)|0406-0407
|Eratosthenes' Si, se Eratosthenes.|0407
|Erb, Wilhelm Heinrich, tysk Nervelæge, (1840-)|0407
|Erbach, By i det tyske Storhertugdømme Hessen, ligger smukt ved Mains Biflod Mümling 35 km SØ. f. Darmstadt|0407
|Erben, Karl Jaromir, tschk. Digter og Historiker, (1811-1870)|0407
|Erbil, se Arbela.|0407
|Erbium, Er = 177,7, er et trivalent Metal, der findes i Ytterjord|0407
|Ercilla y Zuniga, Alonso, sp. Digter (1533-94)|0407-0408
|Erckmann-Chatrian, bekendt fr. Forfatterfirma; begge Indehavere var fødte i Elsass,|0408
|Emile Erckmann (1822-99)|0408
|Alexandre Chatrian (1826-90)|0408-0409
|Ercolani, Giam Battista, Greve, ital. Veterinær, (1817-1883)|0409
|Erding, By i Bayern, Regeringsdistrikt Oberbayern, 30 km NØ. f. München|0409
|Erdington, By i England, Warwickshire, 6 km NØ. f. Birmingham|0409
|Erdmann, |0409
|1) Axel Joakim, sv. Geolog og Mineralog, (1814-1869)|0409
|2) Edvard, sv. Geolog, 1840- )|0409
|Erdmann, Axel, sv. Filolog, (1843- )|0409
|Erdmann, Axel, sv. Maler, (1873- )|0409
|Erdmann, Benno, tysk Filosof, (1851- )|0409-0410
|Erdmann, Johannes Eduard, tysk Filosof, (1805-1892)|0410
|Erdmann, Nils Axel Fredrik, sv. litteraturhistorisk Forf., (1860- )|0410
|Erdmann, Otto Linné, tysk Kemiker, (1804-1869)|0410
|Erdmannit har man kaldt forskellige, paa sjældne Grundstoffer (især Cerium-Metaller) rige Mineraler|0410
|Erdmannsdörfer, Max, tysk Musiker, (1848-1905)|0410
|Erdre , en 95 km lang Flod i det nordvestlige Frankrig, Biflod til Loires højre Bred|0410
|Erdschisch Dagh, se Ardsjisj.|0410
|Erebos, hos Homer og andre græske Digtere det mørke Sted i Jordens Dyb, hvor de Døde maa hen|0410
|Erebus, Mount E., 3890 m høj, virksom Vulkan paa Erebus Øen, en Del af det antarktiske Fastland|0410-0411
|Erebus-Banken, en farlig Grund i Nærheden af Kerguelen-Øerne i den sydlige Del af det ind. Ocean|0411
|Erech, efter Biblen (1. Moseb. 10,10) en gl By i Babylonien|0411
|Erechtheion, gr., antik Tempelbygning, liggende nordligt og forholdsvis lavt paa Athens Akropolis|0411-0413
|Erechtheus tilbades i den hist. Tid paa Athens Akropolis som Heros|0413
|Eregli, |0413
|1) By i Tyrkiet, Vilajet Adrianopel, ligger paa en lille Halvø, der løber ud fra Nordsiden af Marmara-Havet|0413
|2) Bender-E., By paa Nordkysten af Lilleasien, Vilajet Kastamunir, ligger omtr. midt imellem Floderne Sakaria og Filias|0413
|erektil kaldes en Legemsdel, naar den iflg. sin anatomiske Bygning er i Stand til at svulme op|0413
|Erektion, se erektil.|0413
|Erektionspatent eller Erektionsbrev, det Dokument, hvorved Stamhuse og Len i sin Tid oprettedes|0413-0414
|Eremitage, Ermitage (fr. hermitage), en Eremitbolig, en Enebolig|0414
|Eremitageborde., som ved Mekanik løftedes dækkede op gennem en Forsænkning i Gulvet fra et Anretterværelse|0414
|Eremitagen, kgl. Jagtslot i Dyrehaven ved Kbhvn, opført 1736 af de Thurah|0414-0415
|Eremitkrebs (Paguridæ) er særlig karakteriserede ved den store, tyndhudede, sækformede Bagkrop|0415
|Eremitter (gr.), Eneboere, se Anakoreter.|0415
|eremodicium (gr.), romerretligt Udtryk for den Procedure, der fandt Sted, naar den ene Part i Sagen udeblev|0415
|Eremofyter (bot.) kaldes de til Livet i Ørkener og paa Stepper tilpassede Planter|0415
|Eremurus M. Bieb,, Slægt af Liljefamilien, fleraarige Urter|0415
|Erepsin, Ferment, der først blev paavist i 1901|0415-0416
|erepticia bona ell. ereptoria (lat.), romerretlig Betegnelse for Arvelodder, der, efter at Arven var faldet, skulde fratages|0416
|Eresfjord og Vistdalen, Herred, Romsdals Fogderi, Romsdals Amt|0416
|Erethizon, se Gnaverpindsvin.|0416
|Eretisme (gr.), sygelig forhøjet Paavirkelighed for ydre Indtryk|0416
|Eretria, oldgr. By paa Øen Euboia, den vigtigste næst efter Chalkis|0416
|eretriske Skole kaldtes den af Faidon i Elis grundede filos. Skole|0416-0417
|Ereuthofobi, d. s. s. Erythrofobi.|0417
|Erfaring. Oplevelser, der for Bevidstheden staar som Erfaringer, bringer Besked|0417
|Erfaringsvidenskaber er Videnskaber, der gennem planmæssig Indsamling og Bearbejdelse af Erfaringer|0417-0418
|Erfurt, By i den preussiske Provins Sachsen, i det indre Thüringen, ved Floden Gera|0418
|Erg, se absolut  Maal.|0418
|Ergamenes omtales af græske Forfattere som en med Ptolemaios II Filadelfos (284-245) samtidig Konge i Nubien|0418
|Ergane, Tilnavn til Athene som Beskytterinde af al Slags Haandværk, Kunstflid o. l.|0418
