# salmonsen/2/8/Articles.lst
#
index|Titel og indhold|0001 0003 0005
|Flint (Flindt), Andreas|0273
|Flint, Robert|0273
|Flintegrund|0273
|Flinterenden|0273
|Flintglas|0273
|Flintlaas|0273
|Flintlaasgevær|0273
|Flintoe, Johannes|0273
|Flint River|0273-0274
|Flintshire|0274
|Flintsten|0274
|Flipkrave|0274
|Flire|0274
|flirt|0274
|Flisemosaik|0274
|Fliser|0274-0275
|Flitsbue|0275
|Flitte|0275
|Flitter|0275
|Flitteraks|0275
|Flitterguld|0275
|Flittersand|0275
|Flius|0275
|Fljótsdalshjerað|0275-0276
|Fljótshlíð|0276
|Fljótshverfi|0276
|Flóamannasaga|0276
|Flobafener|0276
|Flocon, Ferdinand|0276
|floconné|0276
|Flod|0276-0277
|Flod. Folkeretligt set|0277-0278
|Flod, se Tidevand|0278
|Floddamper|0278
|Floddelfin|0278
|Flodden|0278
|Floddige|0278
|Flodemaal|0278
|Flodguder|0278-0279
|Flodharpiks|0279
|Flodhest|0279-0280
|Flodilder|0280
|Flodin, Karl Theodor|0280
|Flodkrebs|0280-0281
|Flodlampret|0281
|Flodlæbefisk|0281
|Flodman, Karl|0281
|Flodmyg|0281
|Flodnegenøje|0281
|Flodnet|0281
|Flodoard|0281
|Flodomraade|0281
|Flodperlemusling|0281
|Flodplankton|0281
|Flodseng|0281
|Flodskildpadder|0281-0282
|Flodsvin|0282-0283
|Flodsystem|0283
|Flodulk|0283
|flogistisk Kemi|0283-0284
|Flogiston|0284
|Flogopit|0284
|Flogose|0284
|Flói|0284
|Floing|0284
|Flóki Vilgerðarson|0284
|Floksilke|0284
|Flomme|0284
|Flonel|0284
|Flood, Constantius|0284
|Floors Castle|0284
|Floquet, Charles|0284-0285
|Floquet, Pierre Amable|0285
|Flor, Blomstring|0285
|Flor, 1) se Gaze. 2) Luven paa Fløjl.|0285
|Flor, Christian|0285
|Flor, Pierre Poumeau|0285-0286
|Flora, olditalisk Gudinde|0286
|Flora. Samling af Plantearter|0286
|Florac|0286
|Flora Danica, et stort dansk, bot. Billedværk|0286
|Flora Danica, gl dansk Porcelæns-Bordservice|0286-0287
|Floralia|0287
|Florbaand|0287
|Floréal|0287
|floreas - floreat|0287
|Floren|0287
|Florence|0287
|Florence, 3 Byer i U. S. A.|0287
|Florencit|0287
|Florens|0287
|Florensac|0287
|Florentinerbrunt|0287
|Florentineren|0287
|Florentinerflaske|0287
|Florentinerkoncil|0287
|Florentinerkvartet|0287
|Florentinerlak|0287
|Florentinerolie|0287
|florentinsk Mosaik|0287
|florere|0287
|Flores, se Azorerne|0287
|Flores, By i Sydamerika, Argentina|0287
|Flores (lat.)|0287
|Flores, hollandsk Ø i Indonesien|0287
|Flores antimonii|0287
|Floresco, Joan Emanuel|0287-0288
|Flores og Blanzeflor|0288
|Flores Sø|0288
|Flores Zinci|0288
|Floret|0288
|Floretbaand|0288
|Floretinsyre|0288
|Floretsilke|0288
|Florez, Henrique|0288
|Florez Estrada, Alvaro|0288
|Florflue|0288
|Floriacenser|0288
|Florian, Frédéric|0288
|Florian, Jean Pierre Claris de|0288-0289
|Florianopolis|0289
|Florianus|0289
|Florida|0289-0290
|Florida, Stat i U. S. A.|0290
|Florida, Dept i Uruguay|0290
|Florida eller Anuda, en af de britiske Salomons-Øer|0290
|Florida Blanca|0290
|Florida-Kanalen|0290
|Florida Keys|0290
|Florida-Strædet|0290
|Florida-Strøm|0290
|Floridestivelse|0290
|Florideæ|0290
|Floridia|0290
|Floridit|0290
|Florilegium|0290
|Florimo, Francesco|0290-0291
|Florin, Møntnavn|0291
|Florina|0291
|Florinskij, Timofej Dmitrijevitsch|0291
|Floris|0291
|Floris, Cornelis|0291
|Floris, F.|0291
|Florist|0291
|Floristik|0291
|Floriz (Floriszoon), Pieter|0291
|Florizin|0291
|Florman, Arvid Henrik|0291-0292
|Flormel|0292
|Floroglucin|0292
|Florus|0292
|Florvinger|0292-0294
|Florø Ladested|0294
|flos|0294
|Flosi Þórðarson|0294
|Floskel|0294
|Flossmann, Joseph|0294
|Flosta, Herred|0294
|flot|0294
|Flotille|0294
|Flotow, Friedrich|0295
|Flottwell, Eduard Heinrich v.|0295
|Flourens, 1) Emile, 2) Gustave|0295
|Flourens, Marie Jean Pierre|0295-0296
|flov (Søv.)|0296
|flov, Børsudtryk|0296
|Flower, William Henry|0296
|Floxin|0296
|Fluater|0296
|Fluavil|0296
|fluctuat nec mergitur|0296
|Fludd, Robert|0296
|Flueben|0296
|Flueblomst|0296
|Fluefanger|0296
|Fluefiskeri|0296
|Fluegift|0296
|Fluellit|0296
|Fluen, et lille Stjernebillede|0296
|Fluepapir|0297
|Fluer|0297-0298
|Flueskimmel|0298
|Flueskimmelsvampe|0298
|Fluesnappere|0298-0299
|Fluessen-Hav|0299
|Fluesvamp|0299
|Fluetræ|0300
|Flugt|0300-0302
|Flugt, Tilbagetog|0302
|Flugt, i Bygningssproget|0302
|Flugthøjde|0302
|Flugtlinie|0302
|Flugtpunkt|0302
|Flugumýri|0302
|Fluidalstruktur|0302
|Fluidekstrakt|0302
|Fluiditet|0302
|Fluidum|0302
|Fluksion|0302
|Fluksion|0302
|Fluksioner|0302-0303
|Fluktuation|0303
|Flumendosa|0303
|flumen publicum|0303
|Fluocerit|0303
|Fluor|0303
|Fluor albus|0303
|Fluorammonium|0303
|Fluorbly|0303
|Fluorbrinte|0303-0304
|Fluorbrintesyre|0304
|Fluoren|0304
|Fluorescein|0304
|Fluorescens|0304
|Fluorider|0304-0305
|Fluorit|0305
|Fluorkalcium|0305
|Fluorkalium|0305
|Fluormetaller|0305
|Fluorsilicium|0305
|Fluorsiliciummetaller|0305
|Flushing|0305
|Flushing|0305
|Fluskiselsyre|0305
|Flusmidler|0305
|Flussjern|0305
|Flusspat|0305
|Flusspatsyre|0305
|Flussyre|0305
|Flustridæ|0305
|fluvial|0305
|fluvioglaciale|0305
|fluviomarine|0305
|flux de bouche|0305
|Fluxus|0305
|Fly|0305
|Flückiger, Friedrich August|0305-0306
|Flydeblad|0306
|Flydebom|0306
|Flydebromateriel|0306
|Flydedok|0306
|Flydegrænse|0306
|flydende|0306
|flydende Batteri|0306-0307
|flydende Luft|0307
|Flydeport|0307
|Flydesand|0307
|flydetrosse|0307
|Flydevægt|0307
|Flüe, Nikolaus von|0307
|Flüela|0307
|Flüelen|0307
|Flyer|0307-0308
|Flygare Carlén|0308
|Flygel|0308
|Flügel, Gustav Leberecht|0308
|Flygelhorn|0308
|Flüggen, 1) Gisbert, 2) Joseph|0308
|flygtige Olier|0308
|flygtige Salte|0308
|Flygtighed|0308
|flygtigt|0308
|flygtigt Alkāli|0308
|Flying Scotchman|0308
|Flyktæne|0308
|Flynder (Søv.)|0308
|Flynderborg, se Helsingør|0308
|Flynderfisk|0309-0311
|Flynder Sø|0311
|Flürschheimsregulator|0311
|Flysch ell. Karpather-Sandsten|0311
|Flytblokke|0311
|Flytningshjælp|0311
|Flyttebevis|0311
|Flyttedag|0311 0314
|Flyvebaad|0312 0314-0315
|Flyveblad|0315
|Flyveegern|0315-0316
|Flyvefisk, se Makrelgedder|0316
|Flyvefisk (Volans)|0316
|Flyvegigt|0316
|Flyvehavre, se Havre|0316
|Flyvehede ell. flyvende Hede|0316
|Flyvehud|0316
|Flyvehund|0316
|Flyvehøns|0316
|Flyveknurhane|0316
|Flyvekuller, se Kuller|0316
|Flyvemaskine|0316-0329
|flyvende Eskadre|0329
|Flyvende Hollænder, se Flying Scotchman|0329
|Flyvende Hollænder, se Dødssejleren|0329
|flyvende Korps|0330
|flyvende Planteskole|0330
|flyvende Post, se Kjøbenhavns f. P.|0330
|flyvende Sape|0330
|Flyvende Skotte, se Flying Scotchman|0330
|flyvende Sommer|0330
|flyvende Start, se Start|0330
|Flyveplads|0330
|Flyveposten, dansk Dagblad|0330
|Flyvepungdyr|0330-0331
|Flyver|0331
|Flyverfotografering|0331
|Flyverøn|0331
|Flyvesand|0331
|Flyveskrifter|0331
|Flyvetid|0331
|Flyvetøj|0331
|Flyveulk, se Panserkinder|0331
|Flyveøgler (Pterosauria)|0331-0333
|Flægkølle, se Typha|0333
|Flække|0333
|Flækøjet|0333
|Fläming|0333
|Flæsk, se Kød|0333
|Flæskegrund|0333
|Flæsketyv|0333
|Flæskholm|0333
|Fløde|0333
|Flødelap|0333
|Flødemaaler (Kremometer)|0333
|Flødeost|0333
|Flødeprocent|0334
|Flødning|0334
|Fløj. Naar en Bygning|0334
|Fløj (højre og venstre)|0334
|Fløj ell. Vejrhane (Søv.)|0334
|Fløjadjutant|0334
|Fløjalter|0334
|Fløjbatteri|0334
|Fløjdør, se Dør|0334
|Fløje ell. Fløjmure|0334-0335
|Fløjfisk|0335
|Fløjknap|0335
|Fløjl|0335-0336
|Fløjlsand|0336
|Fløjlsblomst|0336
|Fløjls-Brueghel|0336
|Fløjlsfugl|0336
|Fløjlsgræs|0336
|Fløjlsgrød|0336
|Fløjlsmide|0336
|Fløjlspapir|0336
|Fløjlstapet|0336
|Fløjlstænder|0336
|Fløjmand|0336
|Fløjmure|0336
|Fløjte|0336-0337
|Fløjte|0337
|Fløjtefisk|0337
|Fløjtefugl|0337
|Fløjunderofficer|0337
|Flötner|0337
|Fløts|0337
|Fløtsformation|0337
|Fløystrup|0337-0338
|F. M.|0338
|f. m.|0338
|F-Mol|0338
|Fnat|0338
|Fnatmider|0339
|Fnok|0339
|Fnoksilke|0339
|Fnokurt|0339
|Fnug|0339
|Fo|0339
|fob|0340
|Fobos|0340
|Foca|0340
|Foch|0340
|Focsani|0340
|Fod|0340-0341
|Fod|0341
|Fod|0341
|Fod|0341
|Fod|0341
|Fod|0341
|Fodangel|0341
|Fodangel|0341
|Fodartilleri|0341
|Fodbad|0341
|Fodblad|0342
|Fodblok|0342
|Fodbold|0342-0345
|foddelt|0345
|Fodder|0345
|Foder|0345
|Foderanalyse|0345
|Foderbede|0345
|Foderbønne|0345
|Fodéré|0346
|Foderenheder|0346-0347
|Foderheste|0347
|Foderkogeapparat|0347
|Fodermarsk|0347
|Fodermester|0347-0348
|Fodermidler|0348-0350
|Fodernormer|0350-0351
|Foderplanter|0351
|Foderroer|0351
|Foderstoffer|0351
|Foderstrikke|0351
|Foderurter|0351
|Foderværdi|0351-0354
|Fodervært|0354
|Fodevig|0354
|Fodfolk|0354
|Fodfolksspade|0354
|Fodfødsel|0354
|Fodgigt|0354
|Fodklonus|0354-0355
|Fodkys|0355
|Fodled|0355
|Fodleje|0355
|Fodliste|0355
|fodnervet|0355
|Fodor-Mainvielle|0355
|Fodpanel|0355
|Fodpleje|0355
|Fodposten|0355-0356
|Fodpund|0356
|Fodpunkt|0356
|Fodpunktskurve|0356
|fodribbet|0356
|Fodring|0356-0357
|Fodrod|0357
|fodsid|0357
|Fodspor|0357
|Fodstykke|0357
|Fodsved|0357
|Fodsyge|0357
|Fodtone|0357
|Fodtraad|0357
|Fodtræ|0357-0358
|Fodtøj|0358-0362
|Fodvaskning|0362
|Fodvig|0362
|Foe, D.|0362
|Foersom, Christen Martin|0362
|Foersom, Peter Thun|0362-0363
|Fofanov, Konstantin Michajlovitsch|0363
|Fofner|0363
|Fog, Bruun Juul|0363
|Fog, Ludolph Erasmi|0363
|Fogaras|0363
|Fogazzaro, Antonio|0363-0364
|Fogderi|0364
|Foged|0364
|Fogedforretning|0364-0365
|Fogedforbud|0365
|Fogedret|0365
|Fogedsvend|0365
|Fogedvidne|0365
|Fogelberg, Bengt Erland|0365
|Foggia|0365-0366
|Fogh, Carl Johan|0366
|Foglia|0366
|Fogliani, Ludovico|0366
|Foglietta|0366
|foglietto|0366
|Fogo, Bray|0366
|Fohström, Alma Evelina|0366
|Foibe|0366
|Foibidas|0366
|Foibos|0366
|Foinike|0366-0369
|Foinix|0369
|Foix, By i det sydvestlige Frankrig|0369
|Foix, sydfransk Højadelsfamilie|0369
|Fojano, F. della Chiana|0369
|Fojnica|0369
|Fok|0369
|Fokāia|0369-0370
|fokāl|0370
|Fōkas|0370
|Fokien|0370
|Fōkion|0370
|Fōkis|0370
|Fokke-|0370
|Fokke Simonsz, Arend|0370
|Fokomeli|0370
|Fōkos|0370
|Fokschani|0370
|Fokstuen|0370
|Fōkus|0370
|Fokylides|0370-0371
|Fol|0371
|Fol., Forkortelse af Folio|0371
|Fol. (lat.), paa Recepter|0371
|Folard, Jean Charles|0371
|Fold, Indhegning for Husdyr|0371-0372
|Fold, Betegnelse for visse Afgrøders Størrelse|0372
|Foldalen|0372
|Foldals Værk|0372
|Foldblad|0372
|Foldekapitæler|0372
|Foldenfjord|0372-0373
|Folden, Herreder, se Nordfold og Sørfold|0373
|Foldereid, Herred|0373
|Foldesnegl (Voluta)|0373
|foldet (bot.)|0373
|Foldeværk|0373
|Foldfrø|0373
|Foldharve, Se Harve|0373
|Foldhat (Helvella L.)|0373-0374
|Foldhvepse, se Gedehamse|0374
|Foldingbro|0374
|Foldmøbler|0374
|Foldning|0374
|Fole|0374
|fole, at, at føde Føl|0374
|Folehave, se Fold|0374
|Folembray|0374
|Folengo, Teofilo|0374-0375
|Folerit|0375
|Foley, John Henry|0375
|Foley, Sir Thomas|0375
|Folgefonnen|0375
|Folgore da S. Gimignano|0375
|Folia|0375
|Foliant|0375
|Folidolit|0375
|Folie|0375-0376
|Folie, François Jacques Philippe|0376
|folie d'Espagne|0376
|Foliering, se Spejlbelægning|0376
|Foliering, at forsyne en Bogs Sider med fortløbende Tal|0376
|Foligno, Fuligno|0376
|Folio, Papir- og Bogformat|0376
|Folio er en alm|0376
|Folium|0376
|Folk. Ordets ældste Bet.|0376
|Folk, de til en Stat hørende Borgere|0376
|Folkeafstemning (Plebiscit, Referendum)|0376-0379
|Folkeakademier, se Arbejderakademier|0379
|Folkebade|0379
|Folkebanker|0379
|Folkebiblioteker|0379-0384
|Folkeblad, se Dansk F.|0384
|Folkebladet|0384-0385
|Folkebøger|0385-0386
|Folkedanse|0386-0387
|Folkedigtning, se Folkeminder og Epos|0387
|Folkedragt, se Nationaldragt|0387
|Folkeernæring|0387-0389
|Folkeetymologi|0389-0390
|Folkeeventyr, se Folkeminder|0390
|Folkeforening, se Dansk F. og Jysk F.|0390
|Folkeforening, Femte Juni|0390
|Folkeforsamling|0390
|Folkeforsikring|0390-0392
|Folkeherredømme|0392
|Folkehøjskoler|0392-0395
|Folkekirke, den danske|0395
|Folkekomedie|0395
|Folkekøkkener|0395
|Folkelege|0395-0400
|Folkeliste (Søv.)|0400
|Folkelukaf (Søv.)|0400
|Folkemedicin|0400
|Folkeminder|0400-0409
|Folkemusik|0409
|Folkenborg|0409
|Folkeoplysningens Fremme, Udvalget for|0409
|Folkeoplysningsselskabet ell. »Selsk. for Folkeoplysningens Fremme»|0409
|Folkeparti|0409-0410
|Folkepsykologi|0410
|Folkeracer|0410
|Folkeregister|0410
|Folkerepræsentation|0410
|Folkeret|0410-0411
|folkeretlige Servitutter|0411-0412
|Folkesagn, se Folkeminder|0412
|Folkesange|0412
|Folkeskat|0412
|Folkeskole|0412-0416
|Folkeskrifter|0416
|Folkestad, Bernhard Dorotheus|0416-0417
|Folkestad, Halvor Olsen|0417
|Folkestone|0417
|Folkesuverænitet|0417-0418
|Folketavle|0418
|Folketeatret|0418
|Folketidende|0418-0419
|Folketinget|0419
|Folketribun, se Tribun|0419
|Folketro, se Folkeminder|0419
|Folkets Hus|0419-0420
|Folkets Kærlighed min Styrke|0420
|Folketælling|0420-0423
|Folkeuniversitetsforening, se Universitetsundervisning|0423
|Folkevandringer|0423-0424
|Folkevennen, se Folkeoplysningsselskabet|0424
|Folkeviser, se Folkeminder|0424
|Folkevæbning|0424
|Folkevæbningssamlag|0424-0425
|Folklore|0425
|Folkungar|0425-0426
|Folkvang|0426
|Folla, se Foldalen|0426
|Follarskaret|0426
|Follen, August Adolph Ludwig|0426
|Folliculus|0426
|Follikel|0426
|Follo|0426
|Follonica|0426
|Foloë|0426
|Folos|0426
|Folsach|0426
|Foltz, Philipp|0426-0427
|Fomalhaut|0427
|Foment|0427
|Fon, se Ewe|0427
|Fonahn, Adolf Mauritz|0427
|Fonasteni|0427
|Fonation|0427
|Fonautograf ell. Vibrograf|0427
|Fonblanque, Albany|0427
|Foncermaskine, Grunderemaskiner|0428
|fond|0428
|Fondaco|0428
|fondamento|0428
|Fondant|0428
|Fondation Thiers|0428
|Fond du Lac|0428
|Fonden ad usus publicos|0428
|Fondi|0428
|Fonds|0428
|Fondsbørs|0428
|Fondsforretninger|0428
|Fonem|0428
|Fonetik|0428-0429
|fonetiske Bogstaver|0429
|fonetisk Metode|0429
|Fonik|0429
|fonisk|0429
|fonisk Hjul|0429
|Fonn|0429
|Fonnesbech, Christian Andreas|0429-0430
|Fonograf|0430-0431
|Fonolit (Klingsten)|0431
|Fonologi|0431
|Fonometer|0431
|Fonomimik|0431
|Fonopleks|0431
|Fonoskop|0431-0432
|Fonotypi|0432
|Fons|0432
|Fonsagrada|0432
|Fonseca, Manoel Deodoro de|0432
|Fonseca-Bugten|0432
|Font, se Døbefont|0432
|Fontainas, André|0432
|Fontaine, Pierre François|0432
|Fontainebleau|0432
|Fontainebleau-Skolen|0432
|Fontaine l'Évêque|0432-0433
|Fontaktometer|0433
|Fontan, Louis-Marie|0433
|Fontana, Agostino|0433
|Fontana, Carlo|0433
|Fontana, Domenico|0433
|Fontana, Ferdinando|0433
|Fontana, Prospero|0433
|Fontana di Trevi|0433
|Fontanalia, se Fons|0433
|Fontana-Mast|0433
|Fontane, Theodor|0433-0434
|Fontanelle|0434
|Fontanes, Louis|0434
|Fontange|0434-0435
|Fontanges, Marie Angélique de Scoraille de Roussille|0435
|Fontarabic|0435
|Fonte Avellana, Kongregationen af|0435
|Fonteio, Giovanni|0435
|Fontenay, le Sage de|0435
|Fontenay, le Sage de, to Personer|0435
|Fontenay aux Roses|0435
|Fontenay-le-Comte|0435-0436
|Fontenay-sous-Bois|0436
|Fontenelle|0436
|FontenelleBernard Le Bovier de|0436
|Fontenoy, Belgisk By, Fransk By|0436
|Fontes Pereiro de Méllo, Antonio de|0436
|Fontevraud-Ordenen|0436
|Fonteyraud, Alcide|0436
|Fontinalis Dill.|0436-0437
|Fontrailles, Louis d'Astarac|0437
|Fontæne|0437
|Fon-Vizin, Denis Ivanovitsch|0437
|Foosnæs, Hans Konrad Henriksen|0437
|Foot|0437
|Foote, Samuel|0437
|Foppa, Cristoforo, Cristoforo|0437
|Foppa, Vincenzo|0437-0438
|For|0438
|Foraar|0438
|Foraarsagelse|0438
|Foraarsblødning|0438
|Foraarsjævndøgn|0438
|Foraarsjævndøgnspunktet|0438
|Foraarsplantning|0438
|Foraarssaft|0438
|Foraarsstandpunkt|0438
|Foraarsved|0438
|Forain, Jean Louis|0438
|Foramen|0438
|Foraminiferæ|0438
|foranderlige Stjerner|0438-0441
|foranderlig Strandvibe|0441
|forankre|0441
|forargeligt Samliv|0441
|Forargelse, Forargelse,|0441
|Forarm|0441
|Forasien|0441
|Forauktionering|0441
|Forbach|0441
|Forbandelse|0441
|Forbandt|0441-0442
|Forbedring af andres Ting|0442
|Forbedringsanstalter|0442
|Forbedringshuse|0442
|Forbedringsteori|0442-0443
|Forbening|0443
|Forberedelse af Domsforhandling|0443
|Forberedelseseksamen|0443
|Forberedelseshugst|0443
|forberedende Prøver|0443
|Forbes, Archibald|0443-0444
|Forbes, David|0444
|Forbes, Edward|0444
|Forbes, Edwin|0444
|Forbes, Henry|0444
|Forbes, James David|0444
|Forbes, Stanhope Alexander|0444
|Forbesit|0444
|Forbin, Claude de|0444-0445
|Forbin, Louis Nicolas Auguste|0445
|Forbindelser (kem.)|0445-0446
|Forbindelser (milit.)|0446
|Forbindelsesvarme|0446
|Forbinding|0446-0447
|Forbindingsstoffer|0447
|Forbjerg|0447
|Forbjærger|0447
|Forblad|0447
|Forblyning|0447-0448
|Forblændsten|0448
|Forblødning|0448
|forbodme|0448
|Forboltning|0448
|Forbonnais, François de|0448
|Forbrug (økonomisk)|0448-0449
|Forbrug af andres Ting|0449
|Forbrugsafgift|0449
|Forbrugsforeninger|0449-0452
|Forbrugsgods|0452
|Forbrugsstatistik|0452-0455
|Forbrugssukker|0455
|Forbrydelse|0455-0456
|Forbrydelse af Arveret|0456
|Forbrydelse af Embede|0456
|Forbryderasyler|0456
|Forbrydergalskab|0456
|forbryderiske Børn|0456
|Forbryderkolonier|0456
|Forbrydermennesket|0456
|Forbrænder|0456
|Forbrænding|0456-0457
|Forbrænding, i Lægevidenskaben|0457
|Forbrændingsanalyse|0457
|Forbrændingsanstalt|0457
|Forbrændingsmaskine|0457
|Forbrændingsovn|0457
|Forbrændingsrør|0457
|Forbrændingstemperatur og -varme,|0457
|forbrændt|0457
|Forbud|0457-0458
|forbudne Grader|0458
|Forbudspaategning|0458
|Forbund|0458
|Forbundsdag|0458
|Forbundsdomstolen|0458
|Forbundseksekution|0458-0459
|Forbundsforsamling|0459
|Forbundsfælle|0459
|Forbundsfællekrigen|0459
|Forbundskansler|0459
|Forbundslove og Forbundsbeslutninger|0459
|Forbundspræsident|0459
|Forbundsraad|0459
|Forbundsregeringer|0459
|Forbundsstat|0459
|Forbundter|0459
|Forbygning|0459
|Forbøn|0459-0460
|Forcade de la Roquette, Jean Louis Victor Adolphe|0460
|Forcalquier|0460
|force|0460
|Force, Peter|0460
|Forcellini, Egidio|0460
|force majeure|0460
|Forceps|0460
|forcere|0460
|forcere Sejl|0461
|Forcherit|0461
|Forchhammer|0461
|Forchhammer, Ejnar|0461
|Forchhammer, Emanuel|0461
|Forchhammer, Johan Georg|0461-0462
|Forchhammer, Johannes Georg|0462
|Forchhammer, Johannes Nicolai Georg|0462
|Forchhammer, Peter Wilhelm|0463
|Forchheim|0463
|Forckenbeck, Max von|0463
|Ford, Edward Onslow|0463
|Ford, Henry|0463
|Ford, John|0464
|Fordampning|0464
|Fordampningsapparat|0464
|Fordampningsmaaling|0464
|Fordampningsvarme|0464
|Fordel|0464
|fordelende Midler|0464
|fordelende Urter|0464
|Fordeler|0464
|Fordeling|0464
|Fordeling, elektrisk|0464
|Fordelingsanlæg|0464-0465
|Fordelingsledningsnet|0465
|Fordelingsmaskiner|0465
|Fordelingsrum|0465
|Fordelingsskema|0465
|Fordelingstal|0465
|Fordelingstavle|0465
|fordelt|0465
|for de Vind|0465
|Fordicidia|0465
|Fordobling|0465
|Fordraaber|0465
|Fordrag|0465
|Fordring, se Obligationsret|0465
|Fordringshaver, se Obligationsret|0465
|Fordringsret, se Obligationsret|0465
|Fordæk|0465
|Fordøjelse|0465-0467
|Fordøjelsesbesværligheder|0467
|Fordøjelsesorganer|0467-0468
|Fordømmelse|0468
|fore|0468
|Fore and aft Skonnert|0468
|Forebyggelsespligt|0468
|Foredragsbetegnelser|0468
|Foredragskunst|0468-0470
|Foreign Office|0470
|Forel|0470
|Forel, August Henry|0470-0471
|Forel, François Alphonse|0471
|Forelaborre|0471
|Foreland, North og South F.|0471
|Forelgranulit|0471
|Forelsten|0471
|Forelæg|0471
|Forelæggelse|0471
|foreløbige Love|0471
|foreløbige Retsmidler|0471
|forende|0471
|forenede Dampskibsselskab|0471
|forenede norske Arbejdersamfund|0471
|forenede Rigsdag|0471-0472
|Forenede Stater|0472
|forenede Venstre, Det|0472
|Forening|0472
|Foreningen for frivillig Pleje af syge og Saarede i Felt|0472
|Foreningen til den ædle Hesteavls Fremme|0472
|Foreningen til Dyrenes Beskyttelse|0472
|Foreningen til Evangeliets Forkyndelse for skandinaviske Sømænd i fremmede Havne|0472
|Foreningen til norske Fortidsmindesmærkers Bevaring|0472-0473
|Foreningsfrihed|0473-0474
|Forenings- og Sikkerhedsakten|0474-0475
|forensis|0475
|Forenza|0475
|Foresat|0475
|Foresit|0475
|Forest|0475
|Foresti, Jacopo Filippo|0475
|Forestilling|0475-0476
|Forestilling (jur.)|0476
|Forestillingstype|0476
|Foreteelse|0476
|Forevisningsfrist|0476
|Forey, Élie Frédéric|0476
|Forez|0476
|Forez Bjergene|0476
|Forfald|0476-0477
|forfalden|0477
|Forfaldsdag|0477
|Forfalskning (af varer)|0477
|Forfalskning (Efter Strfl.)|0477-0478
|Forfang|0478
|Forfang (Retssprog)|0478
|Forfangenhed|0478-0479
|Forfar|0479
|forfare|0479
|Forfatning|0479-0480
|Forfatningsbrud|0480
|Forfatningsed|0480-0481
|Forfatningskonvent|0481
|Forfatningslov|0481
|Forfatterret|0481-0484
|Forfeit|0484
|Forficulidæ|0484
|Forfil|0484
|Forflyttelse|0484
|Forfragter|0484
|Forfragtning|0484
|Forfremmelsesbedømmelser|0484
|Forfremmelseslister|0484
|Forfremmelsesraad|0484
|Forfrysning|0484-0485
|Forfængelighed|0485
|Forfølgelsesret|0485
|Forfølgelsesvanvid|0485
|Forførelse|0485
|Forgaard|0485
|Forgaard|0485
|Forgemol de Bostequénard, Leonard Leopold|0485
|Forgeot, Nicolas Julien|0485
|Forges les Eaux|0485-0486
|Forgiftning|0486
|Forgiftning (af Fisk)|0486
|Forglasning|0486
|Forglemmigej|0486
|Forglødning|0486
|forgrebs|0486
|Forgrening|0486-0487
|Forgylderpresse|0487
|Forgyldervoks|0487
|Forgyldning|0487
|forgynge|0487-0488
|Forgællesnegle|0488
|forgøre|0488
|Forhaand|0488
|forhale|0488
|Forhaler|0488
|Forhaling|0488
|Forhammer|0488
|Forhandling|0488
|Forhandlingsmaksimen|0488
|forhindrede Retssubjekter|0488
|forhistorisk Arkæologi|0488-0491
|forhistoriske internationale Kongresser|0491
|Forhold|0491
|Forholdelse|0491
|Forholdets Natur|0491-0492
|Forholdsattest|0492
|Forholdsfald|0492
|Forholdsform|0492
|Forholdsord|0492
|Forholdstalsvalg, se Valg|0492
|Forhorn, se Rygmarv|0492
|Forhorning, se Hud|0492
|Forhud, se Kønsorganer|0492
|forhude, kobberforhude ell. kobre|0492
|Forhudsdryppert, se Balanitis|0492
|Forhug|0492
|Forhug|0493
|forhyre, se Hyre|0493
|Forhyringsagent|0493
|Forhæftelse|0493
|Forhærdelse (lægev.)|0493
|Forhøjelse|0493
|Forhør|0493-0494
|Forindien|0494-0496 0498-0500
|Foring|0500
|Forio|0500
|foris positi|0500
|Forissestilling|0500
|forjynget|0500
|forjættede Land|0500
|Fork|0500
|Forkalkning|0500
|Forkalkning|0500
|Forkalkning|0500
|Forkammer|0500
|Forkastning|0500
|Forkatun|0500
|Forkel|0500
|Forkim|0500-0501
|Forkisling|0501
|forklampe|0501
|Forklæde|0501
|forknistre|0501
|Forkobring|0501
|Forkontrakt|0501
|Forkorkning|0501-0502
|Forkortning|0502
|Forkrøpning|0502
|Forkulling|0502
|Forkyndelse|0502
|Forkys|0502
|Forkøb|0502
|Forkøbsret|0502
|Forkølelse|0502-0503
|Forladelse, Syndernes|0503
|Forlader|0503
|Forladning|0503
|forladt Arv|0503
|forladt Ægtefælle|0503
|Forlag|0503
|Forlagsaksel|0503
|Forlagsboghandel|0503
|Forlagskontrakt|0503-0504
|Forlagsret|0504
|Forlagstøj|0504
|Forlana|0504
|Forland|0504
|Forland|0504
|Forland|0504
|Forlast|0504
|forlastet|0504
|Forli|0504-0505
|Forli|0505
|Forlig|0505
|Forliget af 1894|0505
|forliggende|0505
|forligge sin Vind|0505
|Forligsklage|0505
|Forligskommissioner|0505
|Forligsmand|0505
|Forligsmægler|0505
|Forligsmægling|0505-0506
|Forligsprøve|0506
|Forligsraad|0506
|Forlimpopoli|0506
|forlise|0506
|Forlods|0506
|forloren|0506
|forloren Skildpadde|0506
|forlorent Æg|0506
|Forlovelse|0506-0508
|Forlovelse|0508
|Forlover|0508
|Forlovere|0508-0509
|Forlovspenge|0509
|Forluge|0509
|Forlyd|0509
|Forlydsrim|0509
|Forlystelsesskat|0509
